class_id,class_name,count,accuracy
0,BACKGROUND_Google,70,0.34285714285714286
1,Faces,66,0.9696969696969697
2,Faces_easy,66,0.9696969696969697
3,Leopards,30,0.8666666666666667
4,Motorbikes,120,1.0
5,accordion,8,0.625
6,airplanes,120,0.9916666666666667
7,anchor,6,0.0
8,ant,6,0.0
9,barrel,7,0.0
10,bass,8,0.0
11,beaver,7,0.0
12,binocular,5,0.0
13,bonsai,19,0.3684210526315789
14,brain,15,0.2
15,brontosaurus,7,0.0
16,buddha,13,0.5384615384615384
17,butterfly,13,0.23076923076923078
18,camera,7,0.2857142857142857
19,cannon,7,0.0
20,car_side,18,0.8888888888888888
21,ceiling_fan,7,0.0
22,cellphone,9,0.6666666666666666
23,chair,9,0.0
24,chandelier,16,0.4375
25,cougar_body,7,0.0
26,cougar_face,11,0.18181818181818182
27,crab,11,0.0
28,crayfish,11,0.0
29,crocodile,7,0.0
30,crocodile_head,7,0.0
31,cup,8,0.25
32,dalmatian,10,0.0
33,dollar_bill,8,0.75
34,dolphin,10,0.1
35,dragonfly,10,0.1
36,electric_guitar,11,0.36363636363636365
37,elephant,9,0.0
38,emu,8,0.0
39,euphonium,9,0.4444444444444444
40,ewer,13,0.3076923076923077
41,ferry,10,0.1
42,flamingo,10,0.0
43,flamingo_head,7,0.0
44,garfield,5,0.0
45,gerenuk,5,0.0
46,gramophone,7,0.14285714285714285
47,grand_piano,15,0.7333333333333333
48,hawksbill,15,0.26666666666666666
49,headphone,7,0.0
50,hedgehog,8,0.0
51,helicopter,13,0.0
52,ibis,12,0.08333333333333333
53,inline_skate,5,0.6
54,joshua_tree,10,0.1
55,kangaroo,13,0.07692307692307693
56,ketch,17,0.47058823529411764
57,lamp,9,0.1111111111111111
58,laptop,12,0.5833333333333334
59,llama,12,0.16666666666666666
60,lobster,6,0.16666666666666666
61,lotus,10,0.2
62,mandolin,6,0.16666666666666666
63,mayfly,6,0.0
64,menorah,13,0.6153846153846154
65,metronome,5,0.4
66,minaret,11,0.5454545454545454
67,nautilus,8,0.25
68,octopus,5,0.2
69,okapi,6,0.0
70,pagoda,7,0.7142857142857143
71,panda,6,0.0
72,pigeon,6,0.3333333333333333
73,pizza,8,0.25
74,platypus,5,0.0
75,pyramid,9,0.1111111111111111
76,revolver,13,0.46153846153846156
77,rhino,9,0.3333333333333333
78,rooster,8,0.25
79,saxophone,6,0.0
80,schooner,9,0.4444444444444444
81,scissors,6,0.5
82,scorpion,13,0.07692307692307693
83,sea_horse,9,0.0
84,snoopy,5,0.0
85,soccer_ball,9,0.3333333333333333
86,stapler,7,0.42857142857142855
87,starfish,13,0.15384615384615385
88,stegosaurus,9,0.2222222222222222
89,stop_sign,9,0.4444444444444444
90,strawberry,5,0.2
91,sunflower,13,0.3076923076923077
92,tick,8,0.0
93,trilobite,13,0.8461538461538461
94,umbrella,11,0.2727272727272727
95,watch,36,0.9166666666666666
96,water_lilly,6,0.0
97,wheelchair,9,0.1111111111111111
98,wild_cat,5,0.0
99,windsor_chair,8,0.375
100,wrench,6,0.5
101,yin_yang,9,0.4444444444444444
